iter	Passed	Remaining
1075	52088	36258
1076	52146	36217
1077	52202	36173
1078	52268	36137
1079	52333	36100
1080	52389	36057
1081	52459	36023
1082	52514	35979
1083	52576	35940
1084	52632	35896
1085	52684	35850
1086	52735	35803
1087	52787	35757
1088	52840	35711
1089	52895	35667
1090	52945	35620
1091	53002	35577
1092	53050	35529
1093	53113	35490
1094	53174	35449
1095	53234	35408
1096	53312	35379
1097	53373	35339
1098	53434	35298
1099	53497	35259
1100	53569	35226
1101	53642	35193
1102	53706	35155
1103	53786	35126
1104	53857	35092
1105	53896	35037
1106	53968	35004
1107	54036	34967
1108	54098	34927
1109	54160	34887
1110	54221	34846
1111	54282	34805
1112	54340	34762
1113	54406	34724
1114	54474	34687
1115	54551	34656
1116	54618	34619
1117	54690	34584
1118	54775	34558
1119	54838	34518
1120	54911	34484
1121	54963	34437
1122	55048	34411
1123	55126	34380
1124	55196	34344
1125	55274	34313
1126	55336	34272
1127	55391	34227
1128	55461	34190
1129	55525	34150
1130	55593	34113
1131	55655	34071
1132	55742	34045
1133	55807	34006
1134	55866	33962
1135	55934	33925
1136	55994	33882
1137	56050	33837
1138	56109	33793
1139	56167	33749
1140	56243	33716
1141	56311	33678
1142	56386	33644
1143	56459	33609
1144	56529	33571
1145	56600	33535
1146	56675	33501
1147	56753	33468
1148	56828	33434
1149	56900	33397
1150	56979	33365
1151	57051	33329
1152	57120	33291
1153	57197	33257
1154	57271	33222
1155	57343	33186
1156	57412	33147
1157	57483	33110
1158	57551	33071
1159	57628	33037
1160	57701	33000
1161	57795	32976
1162	57867	32939
1163	57942	32903
1164	58009	32863
1165	58097	32835
1166	58173	32800
1167	58248	32764
1168	58317	32725
1169	58389	32688
1170	58456	32648
1171	58531	32611
1172	58603	32574
1173	58673	32535
1174	58747	32498
1175	58820	32461
1176	58897	32426
1177	58972	32389
1178	59058	32359
1179	59139	32326
1180	59207	32286
1181	59282	32249
1182	59349	32208
1183	59423	32170
1184	59493	32131
1185	59572	32096
1186	59662	32067
1187	59736	32030
1188	59811	31993
1189	59882	31953
1190	59961	31919
1191	60040	31883
1192	60124	31851
1193	60191	31809
1194	60284	31781
1195	60376	31753
1196	60464	31722
1197	60545	31687
1198	60619	31649
1199	60700	31615
1200	60774	31576
1201	60850	31538
1202	60927	31502
1203	61015	31470
1204	61089	31431
1205	61157	31390
1206	61236	31353
1207	61314	31317
1208	61388	31278
1209	61453	31234
1210	61530	31197
1211	61593	31152
1212	61664	31111
1213	61734	31070
1214	61812	31033
1215	61892	30996
1216	61961	30955
1217	62032	30914
1218	62110	30876
1219	62175	30832
1220	62258	30797
1221	62348	30765
1222	62434	30732
1223	62503	30690
1224	62579	30651
1225	62650	30609
1226	62718	30567
1227	62787	30524
1228	62863	30485
1229	62943	30448
1230	63019	30409
1231	63086	30365
1232	63156	30323
1233	63234	30284
1234	63302	30241
1235	63389	30207
1236	63460	30165
1237	63527	30121
1238	63602	30081
1239	63692	30048
1240	63764	30007
1241	63840	29967
1242	63936	29936
1243	64030	29904
1244	64134	29878
1245	64221	29842
1246	64297	29802
1247	64374	29762
1248	64454	29724
1249	64521	29679
1250	64601	29641
1251	64682	29603
1252	64764	29565
1253	64847	29527
1254	64927	29488
1255	65006	29449
1256	65083	29409
1257	65162	29369
1258	65245	29331
1259	65322	29291
1260	65400	29251
1261	65478	29211
1262	65554	29169
1263	65624	29125
1264	65695	29082
1265	65771	29041
1266	65843	28998
1267	65911	28953
1268	65999	28917
1269	66083	28878
1270	66167	28840
1271	66240	28797
1272	66314	28755
1273	66389	28713
1274	66466	28671
1275	66544	28630
1276	66614	28586
1277	66691	28544
1278	66759	28499
1279	66838	28458
1280	66910	28414
1281	66986	28372
1282	67064	28331
1283	67141	28289
1284	67215	28246
1285	67298	28206
1286	67371	28163
1287	67450	28121
1288	67526	28079
1289	67598	28035
1290	67666	27988
1291	67743	27946
1292	67816	27902
1293	67888	27858
1294	67958	27813
1295	68035	27770
1296	68110	27727
1297	68180	27681
1298	68252	27637
1299	68320	27591
1300	68382	27542
1301	68445	27493
1302	68505	27444
1303	68578	27399
1304	68649	27354
1305	68716	27307
1306	68776	27257
1307	68841	27210
1308	68901	27160
1309	68961	27110
1310	69017	27059
1311	69080	27010
1312	69139	26960
1313	69197	26910
1314	69260	26861
1315	69323	26812
1316	69390	26765
1317	69455	26717
1318	69513	26667
1319	69579	26619
1320	69645	26571
1321	69722	26528
1322	69795	26483
1323	69879	26442
1324	69956	26398
1325	70035	26355
1326	70108	26310
1327	70171	26261
1328	70246	26217
1329	70316	26170
1330	70384	26123
1331	70459	26078
1332	70530	26032
1333	70609	25988
1334	70679	25942
1335	70765	25901
1336	70839	25855
1337	70908	25808
1338	70984	25764
